厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
276,2020,3,广汽菲亚特克莱斯勒,276,2706,指南者,1313,3,20230112
318,2020,3,埃安,318,3297,AION S,2293,3,20230112
93,2020,3,MINI,93,403,MINI,1672,3,20230112
358,2020,3,奇瑞新能源,358,2645,小蚂蚁,2031,3,20230112
286,2020,3,华晨鑫源,286,1785,金杯小海狮X30,1894,3,20230112
65,2020,3,路虎（进口）,65,216,揽胜,757,3,20230112
219,2020,3,上汽大通MAXUS,219,3317,上汽MAXUS G50,1006,3,20230112
2,2020,3,奥迪（进口）,2,237,奥迪A8,884,3,20230112
253,2020,3,江铃福特,253,3328,领界,1852,3,20230112
4,2020,3,大众（进口）,4,356,途锐,1265,3,20230112
340,2020,3,长城汽车,340,3346,欧拉黑猫,1789,4,20230112
